LONGITUDE,LATITUDE,RSSI,APnumber,,,,
-7549.379435,4864878.414,-47.30645161,183,,,,
-7555.0686,4864885.213,-3.85,126,,,,
-7555.0686,4864885.213,-3.5,185,,,,
-7559.4427,4864887.62,-3.5,90,,,,
-7559.4427,4864887.62,-10.9,91,,,,
-7559.782,4864871.373,-13.85,89,,,,
-7559.782,4864871.373,-18.55,170,,,,
-7560.377608,4864859.337,-29.86,88,,,,
-7560.377608,4864859.337,-16.06,136,,,,
-7560.377608,4864859.337,-31.24,137,,,,
-7562.192,4864866.775,-41.86206897,171,,,,
-7568.053528,4864892.155,-4.469387755,35,,,,
-7568.053528,4864892.155,-4.775510204,36,,,,
-7568.053528,4864892.155,-1.387755102,129,,,,
-7568.053528,4864892.155,-4.673469388,130,,,,
-7568.861,4864876.416,-1.7,148,,,,
-7568.861,4864876.416,-20.8,149,,,,
